RA,nome,ano_referencia,ano_nascimento,idade,genero,ano_ingresso,instituicao_ensino,Fase,Turma,INDE,IAA,IEG,IPS,IDA,IPV,IAN,IPP,risco,Pedra
RA-1,Aluno-1,2022,2003,19,Menina,2016,Escola Pública,7,A,5.783,8.3,4.1,5.6,4.0,7.278,5.0,,1,Ágata
RA-2,Aluno-2,2022,2005,17,Menina,2017,Rede Decisão,7,A,7.055,8.8,5.2,6.3,6.8,6.778,10.0,,0,Ametista
RA-3,Aluno-3,2022,2005,17,Menina,2016,Rede Decisão,7,A,6.591,0.0,7.9,5.6,5.6,7.556,10.0,,0,Ágata
RA-4,Aluno-4,2022,2005,17,Menino,2017,Rede Decisão,7,A,5.951,8.8,4.5,5.6,5.0,5.278,10.0,,0,Ágata
RA-5,Aluno-5,2022,2005,17,Menina,2016,Rede Decisão,7,A,7.427,7.9,8.6,5.6,5.2,7.389,10.0,,0,Ametista
RA-6,Aluno-6,2022,2004,18,Menina,2021,Escola Pública,7,A,5.848,7.9,4.5,7.5,3.3,7.222,5.0,,1,Ágata
RA-7,Aluno-7,2022,2004,18,Menino,2017,Rede Decisão,7,A,6.818,0.0,8.4,7.5,7.6,7.667,5.0,,0,Ágata
RA-8,Aluno-8,2022,2002,20,Menina,2018,Escola Pública,7,A,4.786,7.1,4.6,6.3,1.6,6.278,5.0,,1,Quartzo
RA-9,Aluno-9,2022,2004,18,Menina,2019,Escola Pública,7,A,8.109,8.8,9.5,7.5,6.7,9.5,5.0,,0,Ametista
RA-10,Aluno-10,2022,2004,18,Menina,2021,Escola Pública,7,A,5.784,8.3,5.2,5.0,4.1,7.056,5.0,,1,Ágata
RA-11,Aluno-11,2022,2004,18,Menina,2016,Escola Pública,7,A,5.323,9.2,4.2,5.0,3.0,6.389,5.0,,1,Quartzo
RA-12,Aluno-12,2022,2005,17,Menina,2020,Escola Pública,7,A,4.832,0.0,4.0,6.9,1.5,6.389,10.0,,1,Quartzo
RA-13,Aluno-13,2022,2004,18,Menino,2016,Escola Pública,7,A,6.902,7.9,7.4,7.5,4.7,8.056,5.0,,1,Ametista
RA-14,Aluno-14,2022,2001,21,Menino,2022,Escola Pública,7,D,6.793,7.9,8.3,7.5,4.0,7.75,5.0,,1,Ágata
RA-15,Aluno-15,2022,2004,18,Menino,2022,Escola Pública,7,D,7.783,8.8,10.0,7.5,7.3,7.292,5.0,,0,Ametista
RA-16,Aluno-16,2022,2003,19,Menino,2022,Escola Pública,7,D,6.112,7.9,8.3,5.0,3.5,6.333,5.0,,1,Ágata
RA-17,Aluno-17,2022,2002,20,Menino,2022,Escola Pública,7,D,8.068,8.8,10.0,7.5,7.8,8.292,5.0,,0,Ametista
RA-18,Aluno-18,2022,2003,19,Menino,2022,Escola Pública,7,D,7.226,6.3,8.7,6.3,9.0,6.875,5.0,,0,Ametista
RA-19,Aluno-19,2022,2003,19,Menina,2022,Escola Pública,7,D,7.665,7.9,9.5,7.5,8.0,7.0,5.0,,0,Ametista
RA-20,Aluno-20,2022,2003,19,Menina,2022,Escola Pública,7,D,7.535,7.1,10.0,6.3,7.8,7.167,5.0,,0,Ametista
RA-21,Aluno-21,2022,2004,18,Menino,2022,Escola Pública,7,D,6.945,9.6,9.2,7.5,3.8,7.25,5.0,,1,Ametista
RA-22,Aluno-22,2022,2005,17,Menina,2019,Rede Decisão,6,A,7.474,8.3,7.4,8.1,6.7,8.833,5.0,,0,Ametista
RA-23,Aluno-23,2022,2005,17,Menino,2021,Escola Pública,6,A,7.677,8.3,8.2,8.1,6.7,8.556,5.0,,0,Ametista
RA-24,Aluno-24,2022,2005,17,Menina,2021,Rede Decisão,6,A,8.087,9.2,7.9,6.9,8.6,9.111,5.0,,0,Ametista
RA-25,Aluno-25,2022,2005,17,Menina,2021,Escola Pública,6,A,7.979,8.3,8.3,8.8,6.9,9.667,5.0,,0,Ametista
RA-26,Aluno-26,2022,2005,17,Menino,2022,Escola Pública,6,A,8.677,9.6,8.8,10.0,8.0,10.0,5.0,,0,Topázio
RA-27,Aluno-27,2022,2005,17,Menino,2016,Rede Decisão,6,A,7.124,0.0,7.6,8.1,8.0,9.111,5.0,,0,Ametista
RA-28,Aluno-28,2022,2005,17,Menina,2019,Escola Pública,6,A,6.242,7.9,6.1,7.5,5.0,6.333,5.0,,0,Ágata
RA-29,Aluno-29,2022,2005,17,Menino,2022,Escola Pública,6,A,4.985,0.0,4.0,8.8,3.7,7.611,5.0,,1,Quartzo
RA-30,Aluno-30,2022,2006,16,Menina,2021,Escola Pública,6,A,7.605,8.8,6.4,7.5,7.5,7.333,10.0,,0,Ametista
RA-31,Aluno-31,2022,2005,17,Menina,2019,Rede Decisão,6,A,8.843,10.0,9.5,9.4,8.0,10.0,5.0,,0,Topázio
RA-32,Aluno-32,2022,2006,16,Menina,2018,Rede Decisão,6,A,7.37,8.8,5.2,8.8,6.1,7.944,10.0,,0,Ametista
RA-33,Aluno-33,2022,2005,17,Menina,2020,Escola Pública,6,A,4.952,0.0,4.6,7.5,4.8,6.0,5.0,,1,Quartzo
RA-34,Aluno-34,2022,2005,17,Menino,2016,Rede Decisão,6,A,6.259,9.6,4.8,8.1,3.8,7.278,5.0,,1,Ágata
RA-35,Aluno-35,2022,2005,17,Menina,2019,Rede Decisão,6,A,8.965,10.0,9.6,9.4,8.5,10.0,5.0,,0,Topázio
RA-36,Aluno-36,2022,2005,17,Menina,2019,Rede Decisão,6,A,7.876,9.2,9.0,6.9,6.8,8.944,5.0,,0,Ametista
RA-37,Aluno-37,2022,2005,17,Menina,2019,Rede Decisão,6,A,4.95,0.0,5.4,5.0,5.9,5.222,5.0,,0,Quartzo
RA-38,Aluno-38,2022,2005,17,Menina,2017,Rede Decisão,6,A,8.523,9.2,8.9,7.5,8.6,9.833,5.0,,0,Topázio
RA-39,Aluno-39,2022,2006,16,Menina,2017,Rede Decisão,6,A,6.033,0.0,4.8,6.9,6.9,6.111,10.0,,0,Ágata
RA-40,Aluno-40,2022,2006,16,Menina,2016,Rede Decisão,5,A,7.203,7.9,7.8,7.5,6.8,7.75,5.0,,0,Ametista
RA-41,Aluno-41,2022,2005,17,Menino,2018,Escola Pública,5,A,5.581,9.2,6.1,5.0,5.6,4.375,5.0,,0,Ágata
RA-42,Aluno-42,2022,2007,15,Menino,2019,Rede Decisão,5,A,6.72,8.3,7.9,5.6,4.8,6.083,10.0,,1,Ágata
RA-43,Aluno-43,2022,2006,16,Menina,2019,Escola Pública,5,A,5.486,6.3,6.5,5.6,4.3,5.958,5.0,,1,Quartzo
RA-44,Aluno-44,2022,2005,17,Menina,2021,Escola Pública,5,A,5.542,5.0,5.9,7.5,3.0,7.292,5.0,,1,Ágata
RA-45,Aluno-45,2022,2007,15,Menina,2019,Rede Decisão,5,A,7.591,7.9,8.9,5.6,6.8,7.417,10.0,,0,Ametista
RA-46,Aluno-46,2022,2005,17,Menina,2022,Escola Pública,5,A,6.048,8.8,8.4,6.3,2.1,7.083,5.0,,1,Ágata
RA-47,Aluno-47,2022,2005,17,Menina,2022,Escola Pública,5,A,5.677,7.9,6.3,7.5,2.1,7.042,5.0,,1,Ágata
RA-48,Aluno-48,2022,2007,15,Menina,2017,Rede Decisão,5,A,8.006,6.7,8.4,7.5,8.1,8.5,10.0,,0,Ametista
RA-49,Aluno-49,2022,2005,17,Menina,2022,Escola Pública,5,A,6.304,7.5,7.4,7.5,3.9,7.042,5.0,,1,Ágata
RA-50,Aluno-50,2022,2004,18,Menina,2022,Escola Pública,5,A,7.138,7.5,8.4,7.5,7.8,7.542,2.5,,0,Ametista
RA-51,Aluno-51,2022,2005,17,Menina,2022,Escola Pública,5,B,6.488,8.8,7.6,7.5,5.0,6.5,5.0,,0,Ágata
RA-52,Aluno-52,2022,2009,13,Menino,2018,Rede Decisão,5,B,7.861,9.6,8.9,7.5,6.2,7.5,10.0,,0,Ametista
RA-53,Aluno-53,2022,2005,17,Menino,2022,Escola Pública,5,B,6.725,9.2,7.0,7.5,7.0,6.458,5.0,,0,Ágata
RA-54,Aluno-54,2022,2006,16,Menina,2022,Escola Pública,5,B,6.058,7.9,6.9,7.5,4.8,6.125,5.0,,1,Ágata
RA-55,Aluno-55,2022,2006,16,Menina,2017,Escola Pública,5,B,6.576,7.1,7.6,5.6,7.5,6.5,5.0,,0,Ágata
RA-56,Aluno-56,2022,2007,15,Menina,2019,Rede Decisão,5,B,8.404,10.0,10.0,7.5,7.0,8.25,10.0,,0,Topázio
RA-57,Aluno-57,2022,2006,16,Menino,2017,Rede Decisão,5,B,7.305,7.1,8.1,5.6,8.4,7.875,5.0,,0,Ametista
RA-58,Aluno-58,2022,2007,15,Menino,2017,Rede Decisão,5,B,8.136,9.6,9.2,6.3,7.2,8.125,10.0,,0,Ametista
RA-59,Aluno-59,2022,2005,17,Menino,2022,Escola Pública,5,B,7.642,9.2,9.3,7.5,7.2,7.917,5.0,,0,Ametista
RA-60,Aluno-60,2022,2004,18,Menina,2021,Escola Pública,5,B,5.537,6.7,6.0,7.5,4.9,6.167,2.5,,1,Ágata
RA-61,Aluno-61,2022,2007,15,Menino,2021,Escola Pública,5,B,7.533,9.2,7.4,7.5,5.8,7.875,10.0,,0,Ametista
RA-62,Aluno-62,2022,2005,17,Menino,2022,Escola Pública,5,B,7.891,8.8,9.4,7.5,9.3,7.25,5.0,,0,Ametista
RA-63,Aluno-63,2022,2006,16,Menino,2018,Rede Decisão,5,B,8.282,8.3,9.1,8.8,8.7,9.417,5.0,,0,Topázio
RA-64,Aluno-64,2022,2006,16,Menino,2019,Escola Pública,5,B,7.368,7.1,8.1,8.1,7.5,8.25,5.0,,0,Ametista
RA-65,Aluno-65,2022,2005,17,Menina,2022,Escola Pública,5,B,7.712,8.3,7.7,7.5,9.3,7.875,5.0,,0,Ametista
RA-66,Aluno-66,2022,2005,17,Menina,2022,Escola Pública,5,B,5.665,7.5,5.6,7.5,4.5,5.917,5.0,,1,Ágata
RA-67,Aluno-67,2022,2006,16,Menina,2019,Escola Pública,5,C,5.195,5.8,3.0,7.5,3.6,6.889,5.0,,1,Quartzo
RA-68,Aluno-68,2022,2006,16,Menino,2019,Escola Pública,5,C,6.438,8.3,6.0,7.5,4.0,7.944,5.0,,1,Ágata
RA-69,Aluno-69,2022,2006,16,Menino,2018,Escola Pública,5,C,5.718,8.3,6.1,7.5,2.5,6.167,5.0,,1,Ágata
RA-70,Aluno-70,2022,2006,16,Menina,2017,Escola Pública,5,C,5.712,8.8,6.6,5.0,2.9,6.111,5.0,,1,Ágata
RA-71,Aluno-71,2022,2005,17,Menina,2019,Escola Pública,5,C,4.332,7.9,2.0,7.5,1.2,5.833,5.0,,1,Quartzo
RA-72,Aluno-72,2022,2005,17,Menina,2022,Escola Pública,5,C,7.64,8.3,7.5,7.5,7.8,8.667,5.0,,0,Ametista
RA-73,Aluno-73,2022,2005,17,Menina,2022,Escola Pública,5,C,5.271,7.1,3.0,7.5,3.3,7.278,5.0,,1,Quartzo
RA-74,Aluno-74,2022,2006,16,Menino,2022,Escola Pública,5,C,4.989,9.6,3.3,7.5,2.0,5.833,5.0,,1,Quartzo
RA-75,Aluno-75,2022,2006,16,Menina,2022,Escola Pública,5,F,3.915,5.4,3.8,6.3,0.0,4.625,5.0,,1,Quartzo
RA-76,Aluno-76,2022,2007,15,Menina,2017,Rede Decisão,5,F,9.105,10.0,9.1,8.1,8.7,9.292,10.0,,0,Topázio
RA-77,Aluno-77,2022,2006,16,Menino,2019,Escola Pública,5,F,3.846,7.1,2.7,5.0,0.7,4.625,5.0,,1,Quartzo
RA-78,Aluno-78,2022,2005,17,Menino,2018,Rede Decisão,5,F,7.04,8.3,6.6,5.6,7.2,8.0,5.0,,0,Ametista
RA-79,Aluno-79,2022,2006,16,Menina,2018,Rede Decisão,5,F,6.847,5.4,6.3,5.6,8.9,7.292,5.0,,0,Ágata
RA-80,Aluno-80,2022,2006,16,Menina,2017,Rede Decisão,5,K,7.29,9.2,8.3,5.0,7.1,7.625,5.0,,0,Ametista
RA-81,Aluno-81,2022,2008,14,Menina,2017,Rede Decisão,5,K,7.675,9.2,9.2,5.0,6.0,7.458,10.0,,0,Ametista
RA-82,Aluno-82,2022,2005,17,Menina,2022,Escola Pública,5,K,6.596,8.8,6.8,7.5,5.5,6.417,5.0,,0,Ágata
RA-83,Aluno-83,2022,2005,17,Menina,2022,Escola Pública,5,K,6.671,7.9,6.8,7.5,6.8,5.958,5.0,,0,Ágata
RA-84,Aluno-84,2022,2005,17,Menina,2018,Rede Decisão,5,K,6.682,7.1,8.8,5.0,5.8,6.75,5.0,,0,Ágata
RA-85,Aluno-85,2022,2007,15,Menino,2022,Escola Pública,5,K,6.243,6.7,7.3,5.0,4.3,5.833,10.0,,1,Ágata
RA-86,Aluno-86,2022,2006,16,Menino,2016,Rede Decisão,5,K,7.566,7.5,9.6,5.6,6.7,8.458,5.0,,0,Ametista
RA-87,Aluno-87,2022,2007,15,Menino,2021,Rede Decisão,5,K,8.712,8.3,9.6,7.5,8.8,8.5,10.0,,0,Topázio
RA-88,Aluno-88,2022,2005,17,Menino,2021,Escola Pública,5,K,7.498,7.1,9.2,5.6,6.5,9.208,5.0,,0,Ametista
RA-89,Aluno-89,2022,2006,16,Menino,2021,Escola Pública,5,K,7.323,9.6,7.8,7.5,5.9,8.0,5.0,,0,Ametista
RA-90,Aluno-90,2022,2009,13,Menina,2019,Rede Decisão,5,L,9.442,10.0,9.7,9.4,8.5,9.75,10.0,,0,
RA-91,Aluno-91,2022,2006,16,Menina,2016,Rede Decisão,5,L,6.645,9.2,5.7,5.6,6.6,7.125,5.0,,0,Ágata
RA-92,Aluno-92,2022,2006,16,Menina,2016,Rede Decisão,5,L,6.957,9.2,7.1,5.0,7.4,6.667,5.0,,0,Ametista
RA-93,Aluno-93,2022,2007,15,Menina,2016,Rede Decisão,5,L,8.941,8.3,9.7,8.1,8.5,9.083,10.0,,0,Topázio
RA-94,Aluno-94,2022,2007,15,Menina,2018,Rede Decisão,5,L,8.921,8.3,9.6,8.1,7.7,9.583,10.0,,0,Topázio
RA-95,Aluno-95,2022,2005,17,Menina,2022,Escola Pública,5,L,6.308,8.3,6.6,7.5,4.8,6.292,5.0,,1,Ágata
RA-96,Aluno-96,2022,2006,16,Menino,2021,Escola Pública,5,L,7.54,9.2,7.8,6.9,6.7,8.5,5.0,,0,Ametista
RA-97,Aluno-97,2022,2007,15,Menina,2017,Rede Decisão,5,L,7.468,7.5,8.8,5.0,6.9,6.292,10.0,,0,Ametista
RA-98,Aluno-98,2022,2007,15,Menina,2017,Rede Decisão,5,L,9.354,8.8,10.0,9.4,8.5,9.667,10.0,,0,
RA-99,Aluno-99,2022,2006,16,Menino,2019,Escola Pública,5,L,6.158,8.8,6.3,7.5,5.0,5.833,5.0,,0,Ágata
RA-100,Aluno-100,2022,2009,13,Menina,2019,Rede Decisão,4,A,7.618,8.8,7.8,5.0,7.6,7.25,10.0,,0,Ametista
RA-101,Aluno-101,2022,2007,15,Menina,2021,Escola Pública,4,A,7.305,7.9,8.3,7.5,7.6,6.833,5.0,,0,Ametista
RA-102,Aluno-102,2022,2008,14,Menino,2019,Escola Pública,4,A,6.922,6.7,7.7,6.9,5.7,6.0,10.0,,0,Ametista
RA-103,Aluno-103,2022,2009,13,Menina,2020,Rede Decisão,4,A,8.107,7.9,8.7,7.5,7.3,7.708,10.0,,0,Ametista
RA-104,Aluno-104,2022,2004,18,Menino,2022,Escola Pública,4,A,6.315,7.9,8.7,7.5,3.7,6.708,2.5,,1,Ágata
RA-105,Aluno-105,2022,2005,17,Menino,2016,Rede Decisão,4,A,6.846,7.9,8.2,5.6,6.7,7.417,2.5,,0,Ágata
RA-106,Aluno-106,2022,2007,15,Menina,2016,Rede Decisão,4,A,7.973,9.2,8.0,9.4,7.4,8.375,5.0,,0,Ametista
RA-107,Aluno-107,2022,2007,15,Menina,2018,Escola Pública,4,A,6.258,7.5,6.4,7.5,4.6,6.5,5.0,,1,Ágata
RA-108,Aluno-108,2022,2005,17,Menina,2019,Escola Pública,4,A,5.547,4.6,7.7,5.0,5.0,6.125,2.5,,0,Ágata
RA-109,Aluno-109,2022,2006,16,Menino,2021,Rede Decisão,4,A,8.512,8.8,10.0,8.8,8.4,8.667,5.0,,0,Topázio
RA-110,Aluno-110,2022,2008,14,Menino,2017,Rede Decisão,4,A,8.15,9.2,9.7,5.6,6.7,8.0,10.0,,0,Ametista
RA-111,Aluno-111,2022,2009,13,Menina,2020,Rede Decisão,4,A,8.646,7.5,9.4,8.1,8.0,8.667,10.0,,0,Topázio
RA-112,Aluno-112,2022,2007,15,Menina,2016,Rede Decisão,4,A,7.836,7.9,7.8,6.3,8.5,8.833,5.0,,0,Ametista
RA-113,Aluno-113,2022,2007,15,Menina,2017,Rede Decisão,4,A,3.032,0.0,0.0,5.0,3.7,3.792,5.0,,1,Quartzo
RA-114,Aluno-114,2022,2006,16,Menino,2022,Escola Pública,4,A,5.894,7.9,6.3,7.5,5.3,5.0,5.0,,0,Ágata
RA-115,Aluno-115,2022,2006,16,Menina,2019,Escola Pública,4,A,5.886,8.3,6.8,6.3,3.8,5.583,5.0,,1,Ágata
RA-116,Aluno-116,2022,2006,16,Menina,2019,Escola Pública,4,B,6.854,5.8,8.1,6.3,5.9,7.792,5.0,,0,Ágata
RA-117,Aluno-117,2022,2007,15,Menina,2022,Escola Pública,4,B,6.685,7.9,6.3,6.9,6.1,7.417,5.0,,0,Ágata
RA-118,Aluno-118,2022,2008,14,Menina,2021,Escola Pública,4,B,5.597,0.0,5.3,6.3,3.9,6.958,10.0,,1,Ágata
RA-119,Aluno-119,2022,2008,14,Menina,2016,Rede Decisão,4,B,7.501,8.3,8.2,5.6,5.4,7.875,10.0,,0,Ametista
RA-120,Aluno-120,2022,2007,15,Menino,2019,Escola Pública,4,B,6.825,8.3,5.9,7.5,6.2,7.667,5.0,,0,Ágata
RA-121,Aluno-121,2022,2006,16,Menina,2021,Escola Pública,4,B,7.245,7.1,8.4,6.3,7.2,7.625,5.0,,0,Ametista
RA-122,Aluno-122,2022,2008,14,Menina,2019,Escola Pública,4,B,5.061,7.9,3.4,7.5,1.8,4.958,10.0,,1,Quartzo
RA-123,Aluno-123,2022,2006,16,Menino,2017,Rede Decisão,4,B,7.084,7.9,8.6,5.6,6.5,7.292,5.0,,0,Ametista
RA-124,Aluno-124,2022,2008,14,Menino,2016,Rede Decisão,4,B,7.388,7.9,7.8,5.0,6.7,7.167,10.0,,0,Ametista
RA-125,Aluno-125,2022,2007,15,Menina,2022,Escola Pública,4,B,7.619,8.8,8.5,7.5,7.1,7.75,5.0,,0,Ametista
RA-126,Aluno-126,2022,2007,15,Menino,2018,Escola Pública,4,B,6.289,7.1,5.8,7.5,4.4,7.417,5.0,,1,Ágata
RA-127,Aluno-127,2022,2008,14,Menina,2022,Escola Pública,4,B,8.283,7.5,8.7,7.5,7.9,8.125,10.0,,0,Topázio
RA-128,Aluno-128,2022,2007,15,Menino,2019,Escola Pública,4,B,5.563,0.0,6.2,7.5,5.6,6.167,5.0,,0,Ágata
RA-129,Aluno-129,2022,2007,15,Menino,2019,Escola Pública,4,B,6.926,6.7,6.4,7.5,6.7,7.792,5.0,,0,Ametista
RA-130,Aluno-130,2022,2006,16,Menina,2018,Escola Pública,4,F,5.624,8.3,4.7,5.0,4.1,6.5,5.0,,1,Ágata
RA-131,Aluno-131,2022,2007,15,Menina,2016,Escola Pública,4,F,7.174,8.8,9.0,5.6,5.6,7.75,5.0,,0,Ametista
RA-132,Aluno-132,2022,2008,14,Menina,2019,Rede Decisão,4,F,8.355,10.0,8.8,5.6,7.7,8.458,10.0,,0,Topázio
RA-133,Aluno-133,2022,2007,15,Menina,2016,Escola Pública,4,F,6.875,7.9,7.1,7.5,5.6,7.625,5.0,,0,Ametista
RA-134,Aluno-134,2022,2007,15,Menina,2021,Escola Pública,4,F,6.607,8.8,6.8,7.5,4.7,7.375,5.0,,1,Ágata
RA-135,Aluno-135,2022,2007,15,Menina,2019,Escola Pública,4,F,7.692,8.3,7.8,5.6,8.6,8.583,5.0,,0,Ametista
RA-136,Aluno-136,2022,2007,15,Menino,2019,Escola Pública,4,F,6.478,10.0,6.3,7.5,4.6,6.667,5.0,,1,Ágata
RA-137,Aluno-137,2022,2005,17,Menina,2016,Rede Decisão,4,F,7.056,7.5,8.9,5.0,7.3,7.792,2.5,,0,Ametista
RA-138,Aluno-138,2022,2007,15,Menino,2016,Escola Pública,4,F,6.738,9.6,8.0,5.6,5.6,6.375,5.0,,0,Ágata
RA-139,Aluno-139,2022,2005,17,Menino,2019,Escola Pública,4,F,3.738,7.1,3.5,5.0,1.4,3.917,2.5,,1,Quartzo
RA-140,Aluno-140,2022,2008,14,Menina,2021,Escola Pública,4,F,7.407,7.9,7.6,6.9,5.7,7.667,10.0,,0,Ametista
RA-141,Aluno-141,2022,2008,14,Menino,2017,Escola Pública,4,F,7.118,9.2,8.2,5.6,5.7,5.917,10.0,,0,Ametista
RA-142,Aluno-142,2022,2008,14,Menina,2021,Escola Pública,4,F,7.457,6.7,8.6,5.6,6.3,7.583,10.0,,0,Ametista
RA-143,Aluno-143,2022,2009,13,Menino,2019,Rede Decisão,4,F,8.638,8.3,9.9,5.6,7.9,9.5,10.0,,0,Topázio
RA-144,Aluno-144,2022,2008,14,Menina,2017,Rede Decisão,4,F,8.181,7.5,9.3,5.0,7.9,8.292,10.0,,0,Ametista
RA-145,Aluno-145,2022,2006,16,Menino,2017,Escola Pública,4,H,5.846,0.0,6.3,8.1,5.2,7.25,5.0,,0,Ágata
RA-146,Aluno-146,2022,2007,15,Menina,2022,Escola Pública,4,H,7.947,8.3,9.2,7.5,7.9,8.208,5.0,,0,Ametista
RA-147,Aluno-147,2022,2008,14,Menina,2022,Escola Pública,4,H,7.541,8.3,7.7,7.5,6.1,7.25,10.0,,0,Ametista
RA-148,Aluno-148,2022,2008,14,Menino,2022,Escola Pública,4,H,7.894,9.2,7.9,10.0,5.3,7.708,10.0,,0,Ametista
RA-149,Aluno-149,2022,2007,15,Menina,2022,Escola Pública,4,H,6.323,9.2,6.5,7.5,5.0,6.125,5.0,,0,Ágata
RA-150,Aluno-150,2022,2006,16,Menina,2020,Escola Pública,4,H,6.962,9.6,6.3,6.9,6.9,7.333,5.0,,0,Ametista
RA-151,Aluno-151,2022,2006,16,Menina,2020,Escola Pública,4,H,7.563,8.8,7.5,6.9,8.3,7.958,5.0,,0,Ametista
RA-152,Aluno-152,2022,2006,16,Menina,2022,Escola Pública,4,L,6.712,8.3,7.0,7.5,6.5,6.292,5.0,,0,Ágata
RA-153,Aluno-153,2022,2008,14,Menina,2018,Rede Decisão,4,L,7.535,7.9,8.2,5.0,6.6,7.708,10.0,,0,Ametista
RA-154,Aluno-154,2022,2007,15,Menino,2017,Escola Pública,4,L,6.073,8.3,6.1,6.3,4.0,6.833,5.0,,1,Ágata
RA-155,Aluno-155,2022,2006,16,Menino,2022,Escola Pública,4,L,7.051,10.0,8.3,7.5,5.2,6.833,5.0,,0,Ametista
RA-156,Aluno-156,2022,2007,15,Menino,2018,Escola Pública,4,L,7.357,10.0,8.3,9.4,4.4,7.792,5.0,,1,Ametista
RA-157,Aluno-157,2022,2010,12,Menina,2018,Rede Decisão,4,L,8.317,7.5,10.0,6.3,7.7,8.292,10.0,,0,Topázio
RA-158,Aluno-158,2022,2005,17,Menina,2017,Rede Decisão,4,L,7.302,7.9,9.8,5.6,6.6,8.125,2.5,,0,Ametista
RA-159,Aluno-159,2022,2007,15,Menina,2021,Escola Pública,4,L,6.49,8.3,8.1,5.6,4.7,6.458,5.0,,1,Ágata
RA-160,Aluno-160,2022,2007,15,Menina,2021,Escola Pública,4,L,6.746,7.5,7.2,5.6,5.3,8.25,5.0,,0,Ágata
RA-161,Aluno-161,2022,2011,11,Menina,2018,Rede Decisão,4,L,7.957,7.9,9.1,5.6,6.9,8.083,10.0,,0,Ametista
RA-162,Aluno-162,2022,2008,14,Menina,2021,Escola Pública,4,L,7.215,6.7,8.5,7.5,5.5,6.542,10.0,,0,Ametista
RA-163,Aluno-163,2022,2007,15,Menina,2021,Escola Pública,4,L,6.797,8.8,7.9,5.6,6.7,6.5,5.0,,0,Ágata
RA-164,Aluno-164,2022,2006,16,Menino,2018,Escola Pública,4,L,6.776,8.3,7.3,5.6,6.5,7.208,5.0,,0,Ágata
RA-165,Aluno-165,2022,2008,14,Menina,2017,Rede Decisão,4,L,8.063,7.1,9.8,5.6,7.6,7.5,10.0,,0,Ametista
RA-166,Aluno-166,2022,2008,14,Menino,2020,Escola Pública,4,L,8.253,9.2,9.0,6.3,8.1,7.542,10.0,,0,Topázio
RA-167,Aluno-167,2022,2006,16,Menina,2018,Rede Decisão,4,P,7.798,9.2,9.7,5.6,7.9,7.833,5.0,,0,Ametista
RA-168,Aluno-168,2022,2007,15,Menina,2018,Rede Decisão,4,P,6.917,7.9,8.3,6.3,5.9,7.083,5.0,,0,Ametista
RA-169,Aluno-169,2022,2007,15,Menina,2018,Escola Pública,4,P,5.159,7.5,5.1,6.3,3.2,4.792,5.0,,1,Quartzo
RA-170,Aluno-170,2022,2008,14,Menina,2018,Rede Decisão,4,P,7.007,8.3,9.2,5.6,4.9,5.792,10.0,,1,Ametista
RA-171,Aluno-171,2022,2006,16,Menino,2022,Escola Pública,4,P,6.581,7.5,6.8,7.5,5.5,6.875,5.0,,0,Ágata
RA-172,Aluno-172,2022,2008,14,Menina,2018,Rede Decisão,4,P,8.673,9.2,8.9,9.4,7.3,8.917,10.0,,0,Topázio
RA-173,Aluno-173,2022,2005,17,Menino,2019,Rede Decisão,4,P,7.816,8.3,9.2,6.9,7.9,9.25,2.5,,0,Ametista
RA-174,Aluno-174,2022,2007,15,Menina,2019,Escola Pública,4,P,6.075,7.9,6.2,7.5,4.4,6.042,5.0,,1,Ágata
RA-175,Aluno-175,2022,2007,15,Menina,2018,Rede Decisão,4,P,6.75,8.3,9.2,5.6,5.9,5.833,5.0,,0,Ágata
RA-176,Aluno-176,2022,2009,13,Menina,2018,Rede Decisão,3,A,8.427,9.6,9.1,5.6,6.9,9.083,10.0,,0,Topázio
RA-177,Aluno-177,2022,2009,13,Menina,2022,Escola Pública,3,A,7.424,7.9,8.8,4.4,6.8,6.958,10.0,,0,Ametista
RA-178,Aluno-178,2022,2009,13,Menina,2016,Rede Decisão,3,A,7.025,0.0,8.8,4.4,6.3,8.458,10.0,,0,Ametista
RA-179,Aluno-179,2022,2010,12,Menino,2022,Escola Pública,3,A,7.993,7.5,9.2,7.5,6.1,8.042,10.0,,0,Ametista
RA-180,Aluno-180,2022,2010,12,Menino,2018,Rede Decisão,3,A,8.442,9.2,8.3,6.3,8.1,8.625,10.0,,0,Topázio
RA-181,Aluno-181,2022,2009,13,Menina,2019,Rede Decisão,3,A,8.623,9.2,9.5,8.8,6.8,8.458,10.0,,0,Topázio
RA-182,Aluno-182,2022,2006,16,Menina,2021,Escola Pública,3,A,6.328,7.5,8.0,7.5,4.1,6.958,2.5,,1,Ágata
RA-183,Aluno-183,2022,2009,13,Menina,2022,Escola Pública,3,A,7.3,8.3,8.8,7.5,3.8,7.25,10.0,,1,Ametista
RA-184,Aluno-184,2022,2006,16,Menino,2019,Escola Pública,3,A,7.28,8.8,7.7,7.5,7.2,8.0,2.5,,0,Ametista
RA-185,Aluno-185,2022,2007,15,Menino,2021,Escola Pública,3,A,6.615,7.9,7.7,7.5,4.5,6.875,5.0,,1,Ágata
RA-186,Aluno-186,2022,2009,13,Menina,2019,Escola Pública,3,A,7.832,8.3,8.5,7.5,6.6,7.5,10.0,,0,Ametista
